ID;Datum;Uur;Lengte (mm);Gewicht (g);Diameter oog (vertikaal - mm);Diameter oog (horizontaal - mm);Lengte borstvin (mm);Index;Stadium;Vangstlocatie;Zendernummer;Opmerkingen
389;11/10/17;12:02:34;609;426,6;6,79;7,41;29,43;106,78086;FIII;RINGVAART (MERELBEKE);;
390;11/10/17;12:03:50;561;317,8;6,64;6,86;28,53;102,90686;FIII;RINGVAART (MERELBEKE);;
391;11/10/17;12:08:28;375;114;6,87;7,33;20,74;81,7101;MII;RINGVAART (MERELBEKE);;
392;11/10/17;12:10:35;630;422,3;6,73;6,85;31,5;112,83022;FIII;RINGVAART (MERELBEKE);;
393;11/10/17;12:11:58;316;54,6;3,63;3,62;14,3;38,18365;I;RINGVAART (MERELBEKE);;
394;11/10/17;12:13:20;671;495,8;7,37;8,1;34,51;127,1406;FIII;RINGVAART (MERELBEKE);;
395;11/10/17;12:16:18;10,9;NA;NA;NA;NA;NA;NA;RINGVAART (MERELBEKE);;
396;11/10/17;12:17:32;572;365;6,92;7,87;26,62;103,6095;FIII;RINGVAART (MERELBEKE);;
397;11/10/17;12:18:56;637;563,7;7,02;8,02;28,19;99,56884;FIII;RINGVAART (MERELBEKE);;
398;12/10/17;10:58:54;466;180;5,34;5,91;21,98;78,477115;FII;RINGVAART (MERELBEKE);;
399;12/10/17;11:08:42;648;472,6;7,15;7,34;31,72;115,8863;FIII;RINGVAART (MERELBEKE);;
400;12/10/17;11:18:12;646;505,7;7,64;7,84;32,18;116,17478;FIII;RINGVAART (MERELBEKE);;
401;12/10/17;11:27:47;840;1288,1;9,43;10,54;43,35;111,897395;FIV;RINGVAART (MERELBEKE);30356;
402;12/10/17;11:35:30;703;605,8;7,93;8,27;33,39;124,13118;FIII;RINGVAART (MERELBEKE);;
403;12/10/17;11:48:07;770;775,9;8,12;8,75;35,82;127,21192;FIII;RINGVAART (MERELBEKE);;hervangst
